Dificultad, Problema, Respuestas
Baja, 12 + 8, 20
Baja, 45 + 33, 78
Baja, 58 + 17, 75
Baja, 23 + 17, 40
Baja, 45 + 9, 54
Baja, 25 - 7, 18
Baja, 80 - 29, 51
Baja, 63 - 18, 45
Baja, 50 - 15, 35
Baja, 29 - 7, 22
Baja, 6 * 4, 24
Baja, 9 * 5, 45
Baja, 7 * 3, 21
Baja, 8 * 3, 24
Baja, 5 * 4, 20
Baja, 56 / 7, 8
Baja, 42 / 6, 7
Baja, 56 / 8, 7
Baja, 24 / 4, 6
Baja, 45 / 5, 9
Media, 184 + 97, 281
Media, 325 + 156, 481
Media, 428 + 567, 995
Media, 315 + 148, 463
Media, 987 + 215, 1202
Media, 874 - 319, 555
Media, 1210 - 645, 565
Media, 842 - 276, 566
Media, 1230 - 487, 743
Media, 512 - 293, 219
Media, 26 * 14, 364
Media, 36 * 18, 648
Media, 45 * 23, 1035
Media, 36 * 9, 324
Media, 57 * 8, 456
Media, 1215 / 45, 27
Media, 960 / 40, 24
Media, 1296 / 24, 54
Media, 1080 / 45, 24
Media, 1200 / 40, 30
Alta, 1235 + 764, 1999
Alta, 982 + 1130, 2112
Alta, 1784 - 924, 860
Alta, 2615 - 1332, 1283
Alta, 56 * 23, 1288
Alta, 72 * 18, 1296
Alta, 1800 / 45, 40
Alta, 2160 / 36, 60
Alta, 1235 + 764 - 523, 1476
Alta, (56 * 18) / 72, 14
Alta, 984 - (657 / 3), 765
Alta, 58 * 24 + 912, 2304
Alta, (80 + 320) * 5, 2000
Alta, 1500 - (85 * 6), 990
Alta, 72 * 15 / 36, 30
Alta, 2300 + 1125 - 1460, 1965
Super alta, 1400 / 25 + 312, 368
Super alta, (1200 / 50) * 14, 336
